date,lastSyncTime,steps,distance,runDistance,calories
2019-11-12,1573584547,7645,5492,301,192
2019-11-13,1573701126,6339,4405,212,152
2019-11-14,1573757887,4086,2765,140,90
2019-11-15,1573876146,8583,5911,256,198
2019-11-16,1573970601,2809,1836,82,57
2019-11-17,1574041905,8895,5971,399,198
2019-11-18,1574102538,7928,5472,263,186
2019-11-19,1574189528,7073,5013,160,168
2019-11-20,1574274846,7992,5567,195,182
2019-11-21,1574394606,6021,4298,117,146
2019-11-22,1574447526,8370,5837,551,203
2019-11-23,1574533927,4518,3188,250,121
2019-11-24,1574653865,11330,7670,459,259
2019-11-25,1574707867,6350,4486,288,155
2019-11-26,1574825940,5177,3706,291,132
2019-11-27,1574882286,4735,3388,119,121
2019-11-28,1574965866,5389,3720,165,129
2019-11-29,1575091626,5937,4115,308,141
2019-11-30,1575140226,6395,4589,253,160
2019-12-01,1575225308,5789,4171,301,154
2019-12-02,1575339245,7175,4686,317,152
2019-12-03,1575427439,7674,5011,504,169
2019-12-04,1575485225,11826,7765,470,254
2019-12-05,1575610625,9207,5965,433,197
2019-12-06,1575657245,5355,3452,372,125
2019-12-07,1575743408,8027,5195,553,177
2019-12-08,1575830536,7551,4940,560,173
2019-12-09,1575917225,5718,3683,326,129
2019-12-10,1576003026,14091,9135,461,294
2019-12-11,1576089546,11256,7339,356,239
2019-12-12,1576175886,7685,5009,450,175
2019-12-13,1576263366,9496,6148,432,202
2019-12-14,1576349286,7583,5002,325,167
2019-12-15,1576435817,15114,9860,803,330
2019-12-16,1576523166,7896,5105,517,175
2019-12-17,1576640789,5277,3404,484,119
2019-12-18,1576726443,3276,2105,350,84
2019-12-19,1576809468,7663,5124,421,180
2019-12-20,1576867268,8208,5315,491,184
2019-12-21,1576953846,8683,5623,523,191
2019-12-22,1577076546,9980,6674,579,236
2019-12-23,1577166186,9778,6476,581,223
2019-12-24,1577246047,7930,5159,536,182
2019-12-25,1577334127,7459,4821,505,159
2019-12-26,1577422446,5213,3387,467,121
2019-12-27,1577500572,5059,3266,442,119
2019-12-28,1577557867,5456,3581,720,137
2019-12-29,1577680800,13065,8916,629,307
2019-12-30,1577732407,4055,2625,408,101
2019-12-31,1577817967,9691,6699,1075,249
2020-01-01,1577935385,2758,1775,353,67
2020-01-02,1578022528,3868,2486,430,87
2020-01-03,1578112205,6481,4239,479,151
2020-01-04,1578195725,6111,4085,382,143
2020-01-05,1578249785,15954,11825,4567,517
2020-01-06,1578336366,6932,4516,537,161
2020-01-07,1578451815,12348,9202,3919,408
2020-01-08,1578510905,5019,3231,482,123
2020-01-09,1578616118,2664,1727,190,64
2020-01-10,1578724273,9640,6453,1283,231
2020-01-11,1578791525,5278,3426,177,115
2020-01-12,1578887651,18398,12047,888,389
2020-01-13,1578977764,5198,3344,428,122
2020-01-14,1579027026,8251,5372,771,184
2020-01-15,1579170486,44996,30807,5132,1004
2020-01-16,1579201086,26477,18117,3632,602
2020-01-17,1579328189,11319,7861,3111,295
2020-01-18,1579407245,3497,2248,245,82
2020-01-19,1579491713,7420,4895,379,170
2020-01-20,1579578306,6791,4386,466,157
2020-01-21,1579631897,2502,1609,210,60
2020-01-22,1579718580,5895,3811,491,129
2020-01-23,1579804800,6550,4235,412,141
2020-01-24,1579891200,6654,4388,476,147
2020-01-25,1580018580,9614,6197,610,218
2020-01-26,1580096774,7683,4966,560,171
2020-01-27,1580178900,7390,5199,1362,192
2020-01-28,1580275020,10046,6940,1464,257
2020-01-29,1580348403,9562,6241,828,214
2020-01-30,1580410679,12247,8037,381,256
2020-01-31,1580497140,11986,7869,676,258
2020-02-01,1580604849,12414,8640,1498,329
2020-02-02,1580695892,15721,11409,3790,482
2020-02-03,1580779032,8953,5769,648,188
2020-02-04,1580876470,6718,4326,408,141
2020-02-05,1580961659,8761,5657,498,188
2020-02-06,1581050373,8097,5461,371,196
2020-02-07,1581132059,3417,2197,411,86
2020-02-08,1581186599,8208,5349,447,183
2020-02-09,1581273300,8471,5491,515,185
2020-02-10,1581407471,6602,4250,391,144
2020-02-11,1581446640,8329,5824,2005,243
2020-02-12,1581572230,9818,6361,523,212
2020-02-13,1581620339,9221,6031,533,209
2020-02-14,1581740165,7456,4992,463,179
2020-02-15,1581791759,13469,8911,507,293
2020-02-16,1581879420,10727,7001,657,238
2020-02-17,1581964859,8735,6042,1102,221
2020-02-18,1582088590,9282,6364,1393,245
2020-02-19,1582138319,12459,8156,530,269
2020-02-20,1582266572,5970,3912,408,139
2020-02-21,1582345979,5583,3641,316,129
2020-02-22,1582397641,8453,5452,492,182
2020-02-23,1582516813,5281,3418,321,121
2020-02-24,1582570620,9499,6217,582,211
2020-02-25,1582709240,22865,14944,1326,480
2020-02-26,1582778101,6530,4251,247,141
2020-02-27,1582828622,3720,2399,259,83
2020-02-28,1582915441,10523,6869,531,225
2020-02-29,1583002741,21273,14772,4220,539
2020-03-01,1583117097,11582,7590,497,249
2020-03-02,1583176379,17838,11930,1371,385
2020-03-03,1583260740,5300,3406,283,121
2020-03-04,1583351160,4549,2935,350,107
2020-03-05,1583467557,6584,4319,490,153
2020-03-06,1583520900,7274,4953,1016,190
2020-03-07,1583606640,7422,4791,474,165
2020-03-08,1583693699,25372,17475,545,578
2020-03-09,1583816385,13739,9660,726,337
2020-03-10,1583902742,8768,5710,641,192
2020-03-11,1583954820,8986,6126,1187,225
2020-03-12,1584038941,7262,4829,432,168
2020-03-13,1584171107,3904,2545,156,84
2020-03-14,1584211800,6405,4134,408,143
2020-03-15,1584368971,7049,4703,463,166
2020-03-16,1584384791,5135,3301,371,112
2020-03-17,1584503582,5230,3374,385,118
2020-03-18,1584586939,6093,4111,317,148
2020-03-19,1584644342,5172,3352,237,112
2020-03-20,1584730141,3141,2023,245,80
2020-03-21,1584884138,5629,3630,447,133
2020-03-22,1584902041,6718,4369,448,150
2020-03-23,1584988620,5517,3554,397,131
2020-03-24,1585105031,4060,2616,285,100
2020-03-25,1585191396,8829,5749,648,190
2020-03-26,1585276256,6472,4374,279,151
2020-03-27,1585334821,7907,5258,346,176
2020-03-28,1585450740,6821,4575,523,161
2020-03-29,1585506901,9154,6006,523,207
2020-03-30,1585593301,5010,3240,351,121
2020-03-31,1585722085,5106,3411,375,131
2020-04-01,1585795028,3382,2180,314,82
2020-04-02,1585852380,7526,4878,346,162
2020-04-03,1585943700,2128,1367,231,57
2020-04-04,1586029800,7875,5201,335,178
2020-04-05,1586111652,7199,4658,455,159
2020-04-06,1586232900,8532,5746,823,201
2020-04-07,1586284680,6285,4074,407,143
2020-04-08,1586372471,9633,6532,994,236
2020-04-09,1586458141,5624,3647,382,131
2020-04-10,1586578560,7478,4857,295,171
2020-04-11,1586662741,5078,3282,407,115
2020-04-12,1586717101,10667,6923,483,231
2020-04-13,1586842201,6315,4197,386,153
2020-04-14,1586923153,3090,1986,406,82
2020-04-15,1586980863,4108,2673,449,103
2020-04-16,1587098807,7359,4832,489,164
2020-04-17,1587149461,3674,2379,301,87
2020-04-18,1587234601,14179,9604,534,318
2020-04-19,1587352216,8434,5451,632,192
2020-04-20,1587444901,5582,3666,358,133
2020-04-21,1587494462,7515,4861,405,170
2020-04-22,1587610811,3396,2188,354,82
2020-04-23,1587667862,5622,3626,439,131
2020-04-24,1587753662,5229,3368,396,126
2020-04-25,1587842282,5005,3262,220,109
2020-04-26,1587926042,5586,3633,298,126
2020-04-27,1588012504,3895,2526,229,87
2020-04-28,1588132743,5442,3597,417,120
2020-04-29,1588185062,7756,5137,123,172
2020-04-30,1588271883,4479,2905,256,102
2020-05-01,1588358883,6790,4454,396,148
2020-05-02,1588456333,1852,1194,133,47
2020-05-03,1588566562,7433,4841,371,165
2020-05-04,1588652268,2812,1816,268,71
2020-05-05,1588735144,4429,2858,259,102
2020-05-06,1588822383,9598,6383,318,218
2020-05-07,1588908244,8537,5836,268,199
2020-05-08,1588986781,8496,5526,447,191
2020-05-09,1589074734,7349,4881,384,166
2020-05-10,1589138113,11064,7213,659,248
2020-05-11,1589260801,6780,4490,452,159
2020-05-12,1589350821,8541,5726,364,200
2020-05-13,1589426864,6243,4038,419,138
2020-05-14,1589517062,2494,1608,165,56
2020-05-15,1589601962,6349,4113,450,143
2020-05-16,1589654042,5851,3824,383,133
2020-05-17,1589740862,8727,5812,202,191
2020-05-18,1589829662,6235,4026,325,141
2020-05-19,1589913482,6432,4175,429,142
2020-05-20,1590027782,6295,4117,349,143
2020-05-21,1590105938,8472,5527,520,192
2020-05-22,1590195781,5423,3507,387,125
2020-05-23,1590258841,23235,15651,360,500
2020-05-24,1590380222,14802,9864,916,339
2020-05-25,1590462852,3731,2410,332,89
2020-05-26,1590550802,3935,2539,248,89
2020-05-27,1590605642,4630,3041,274,103
2020-05-28,1590997233,12,8,7,1
2020-05-29,1590997232,0,0,0,0
2020-05-30,1590997233,0,0,0,0
2020-05-31,1590997233,0,0,0,0
2020-06-01,1591070161,3226,2076,177,75
2020-06-02,1591123742,4624,2971,422,111
2020-06-03,1591239781,9047,6241,1164,233
2020-06-04,1591326539,3955,2568,264,88
2020-06-05,1591382459,9146,5948,389,201
2020-06-06,1591493339,10490,7142,409,240
2020-06-07,1591555440,16010,10738,835,348
2020-06-08,1591675200,7315,4884,761,178
2020-06-09,1591728720,5505,3581,389,124
2020-06-10,1591815300,9638,6267,486,210
2020-06-11,1591903620,16403,11183,466,364
2020-06-12,1591987080,15152,10088,613,334
2020-06-13,1592076901,15695,10381,792,345
2020-06-14,1592190000,13859,9143,510,300
2020-06-15,1592274961,5193,3368,359,117
2020-06-16,1592332622,5069,3259,343,111
2020-06-17,1592448721,4727,3049,299,104
2020-06-18,1592471700,3628,2338,218,78
2020-06-21,1592793880,7325,4873,428,162
2020-06-22,1592850961,18258,12273,328,426
2020-06-23,1592966152,5121,3311,350,107
2020-06-24,1593024001,7126,4636,404,149
2020-06-25,1593141663,6703,4346,287,142
2020-06-26,1593224100,6478,4176,461,145
2020-06-27,1593283620,3531,2271,321,82
2020-06-28,1593405600,5560,3576,351,125
2020-06-29,1593457861,9617,6254,650,211
2020-06-30,1593579480,6959,4552,362,153
2020-07-01,1593657901,2378,1528,210,58
2020-07-02,1593741601,6021,3918,319,128
2020-07-03,1593833041,6710,4402,336,150
2020-07-04,1593916202,16426,11061,393,378
2020-07-05,1593974461,15895,10576,875,377
2020-07-06,1594087201,9270,6022,481,198
2020-07-07,1594146901,13187,8616,453,279
2020-07-08,1594263601,13034,8485,493,274
2020-07-09,1594326001,9265,6243,286,215
2020-07-10,1594408920,6330,4110,328,146
2020-07-11,1594492861,15811,10670,670,368
2020-07-12,1594579921,9064,5837,325,183
2020-07-13,1594698781,11033,7233,954,254
2020-07-14,1594751761,10947,7094,555,240
2020-07-15,1594865342,17226,11222,650,367
2020-07-16,1594924261,15008,9721,825,314
2020-07-17,1595033041,12908,8409,557,282
2020-07-18,1595128500,16728,10965,720,355
2020-07-19,1595191618,12297,7989,522,252
2020-07-20,1595294519,9260,6013,637,208
2020-07-21,1595392198,8676,5608,740,185
2020-07-22,1595442779,5339,3443,340,121
2020-07-23,1595561400,9092,5905,421,194
2020-07-24,1595642400,6802,4427,521,146
2020-07-25,1595702401,8665,5619,557,190
2020-07-26,1595789700,10506,7000,351,239
2020-07-27,1595876280,8209,5343,466,178
2020-07-28,1595989740,14932,10358,1725,381
2020-07-29,1596078120,5904,3867,404,134
2020-07-30,1596169800,6323,4100,488,146
2020-07-31,1596241740,8439,5812,706,210
2020-08-01,1596328200,10539,6804,555,235
2020-08-02,1596416942,17093,11444,619,365
2020-08-03,1596523080,11874,8186,1236,296
2020-08-04,1596591841,7271,4689,361,162
2020-08-05,1596652441,13236,9037,721,319
2020-08-06,1596773221,10107,6729,622,236
2020-08-07,1596825301,5151,3369,237,113
2020-08-08,1596912661,7169,4673,500,168
2020-08-09,1596998942,18271,12014,696,392
2020-08-10,1597084921,5920,3827,563,130
2020-08-11,1597172161,10355,6715,397,220
2020-08-12,1597289821,11796,7665,493,259
2020-08-13,1597366921,9535,6190,541,196
2020-08-14,1597429980,14888,9939,544,336
2020-08-15,1597544161,10149,6603,479,221
2020-08-16,1597624080,14899,9826,781,331
2020-08-17,1597714868,10778,6997,732,242
2020-08-18,1597775580,10228,6802,460,230
2020-08-19,1597889808,13155,9078,2049,344
2020-08-20,1597949581,9532,6154,570,205
2020-08-21,1598035020,12725,8339,466,278
2020-08-22,1598122680,16077,10640,789,359
2020-08-23,1598210100,13200,8961,481,309
2020-08-24,1598295542,6937,4495,434,149
2020-08-25,1598380200,7158,4668,548,165
2020-08-26,1598467321,7767,5231,385,182
2020-08-27,1598554320,4705,3068,593,113
2020-08-28,1598659021,6475,4179,337,143
2020-08-29,1598745601,23164,15409,1132,524
2020-08-30,1598842320,17864,12004,818,411
2020-08-31,1598932680,8050,5223,544,185
2020-09-01,1598985961,10470,6787,654,224
2020-09-02,1599099779,12185,7864,515,264
2020-09-03,1599185821,13033,8445,670,273
2020-09-04,1599266760,14337,9322,756,318
2020-09-05,1599361141,18852,12385,745,410
2020-09-06,1599448057,14720,9799,954,334
2020-09-07,1599504122,12627,8245,823,280
2020-09-08,1599610921,11779,7785,562,269
2020-09-09,1599706140,20641,13813,1257,460
2020-09-10,1599763979,9077,5873,480,203
2020-09-11,1599849335,9634,6339,574,218
2020-09-12,1599967742,13947,9078,634,299
2020-09-13,1600022162,12476,8109,652,266
2020-09-14,1600110542,13999,9164,730,309
2020-09-15,1600195141,12387,8043,549,275
2020-09-16,1600309561,15179,9973,743,332
2020-09-17,1600376012,11600,7515,670,246
2020-09-18,1600455122,12653,8166,757,273
2020-09-19,1600542541,9881,6371,780,228
2020-09-20,1600668061,5900,3869,631,141
2020-09-21,1600755852,16283,11925,346,423
2020-09-22,1600816744,4599,3209,184,117
2020-09-23,1600936745,4551,3203,664,131
2020-09-24,1601019782,11824,8824,465,319
2020-09-25,1601076245,1887,1213,179,50
2020-09-26,1601162233,4130,2659,230,97
2020-09-27,1601282762,2142,1376,211,61
2020-09-28,1601368503,2405,1559,296,59
2020-09-29,1601457979,6141,4330,281,164
2020-09-30,1601507344,1810,1163,208,49
2020-10-01,1601623407,4080,2623,231,87
2020-10-02,1601680266,12008,8048,692,274
2020-10-03,1601766303,8532,6052,463,217
2020-10-04,1601854180,8144,5245,556,183
2020-10-05,1601940011,13935,10151,311,355
2020-10-06,1602025441,9246,6247,373,215
2020-10-07,1602111902,10120,7064,1476,269
2020-10-08,1602198842,11562,8435,421,295
2020-10-09,1602285362,14031,9909,1476,364
2020-10-10,1602370801,16333,11742,605,412
2020-10-11,1602458100,6231,4058,375,141
2020-10-12,1602545177,9825,7089,277,254
2020-10-13,1602635101,8870,6310,769,229
2020-10-14,1602716943,7157,4956,357,171
2020-10-15,1602831665,7558,5300,314,182
2020-10-16,1602922442,11564,8630,1760,346
2020-10-17,1602976660,3514,2258,281,89
2020-10-18,1603062124,4986,3204,363,101
2020-10-19,1603149905,8184,5618,506,202
2020-10-20,1603235583,8245,5637,306,195
2020-10-21,1603321862,17698,12750,743,439
2020-10-22,1603407843,7592,4996,664,173
2020-10-23,1603494063,5214,3437,493,120
2020-10-24,1603580687,8282,6256,203,225
2020-10-25,1603676642,12028,8544,432,305
2020-10-26,1603759201,8212,5925,2443,263
2020-10-27,1603845781,9353,6965,3121,299
2020-10-28,1603931472,11009,8521,4072,398
2020-10-29,1604016185,6409,4118,439,143
2020-10-30,1604135801,18625,14123,502,500
2020-10-31,1604191381,12821,9073,546,316
2020-11-01,1604278501,6524,4647,318,165
2020-11-02,1604364301,8548,5866,330,207
2020-11-03,1604449205,4736,3239,371,125
2020-11-04,1604545740,11407,8367,703,303
2020-11-05,1604654574,8947,6131,332,216
2020-11-06,1604713201,14847,10852,506,379
2020-11-07,1604800200,4438,2853,528,106
2020-11-08,1604880723,11714,8282,271,283
2020-11-09,1604967545,10617,7531,551,266
2020-11-10,1605054183,3959,2557,316,91
2020-11-11,1605139743,5729,3721,443,135
2020-11-12,1605225964,4541,2941,380,115
2020-11-13,1605313518,11344,7952,482,271
2020-11-14,1605399422,25972,18674,955,649
2020-11-15,1605488161,12386,8803,328,313
2020-11-16,1605608782,3306,2132,254,80
2020-11-17,1605688930,10209,7258,414,260
2020-11-18,1605778587,10349,7090,1565,269
2020-11-19,1605831482,8805,6515,402,241
2020-11-20,1605917161,8177,5751,447,204
2020-11-21,1606004702,9173,6562,373,227
2020-11-22,1606090741,5549,3931,358,145
2020-11-23,1606176062,3892,2519,259,91
2020-11-24,1606293657,25823,19457,558,682
2020-11-25,1606350483,6805,4924,393,188
2020-11-26,1606436825,9465,6933,287,247
2020-11-27,1606521662,3723,2393,270,82
2020-11-28,1606608602,6634,4535,345,166
2020-11-29,1606723412,13025,9140,644,326
2020-11-30,1606813202,10467,7759,316,276
2020-12-01,1606899603,6998,4856,312,166
2020-12-02,1606956422,10646,7607,506,274
2020-12-03,1607067003,14865,10728,1441,389
2020-12-04,1607126582,8090,5448,373,192
2020-12-05,1607213881,26086,18453,849,630
2020-12-06,1607300523,7480,5141,363,175
2020-12-07,1607394060,8243,5664,516,204
2020-12-08,1607502316,7850,5752,959,222
2020-12-09,1607595180,10813,7638,407,259
2020-12-10,1607646061,6968,4888,283,173
2020-12-11,1607732162,10628,7269,424,244
2020-12-12,1607817840,4358,2812,517,110
2020-12-13,1607906281,6279,4370,474,164
2020-12-14,1607991602,9495,6705,465,245
2020-12-15,1608078420,13821,9703,573,333
2020-12-16,1608199201,9169,6231,485,224
2020-12-17,1608251100,10894,7738,1220,295
2020-12-18,1608336300,16918,11753,831,406
2020-12-19,1608452106,10986,8066,331,286
2020-12-20,1608508800,16529,11878,387,414
2020-12-21,1608598440,11847,8799,471,312
2020-12-22,1608683100,7746,4984,346,170
2020-12-23,1608769003,11562,8467,1220,319
2020-12-24,1608858541,10745,7495,687,272
2020-12-25,1608941879,11322,7862,706,279
2020-12-26,1609083549,4351,3184,193,116
2020-12-27,1609113839,1006,646,99,25
2020-12-28,1609221684,3131,2012,247,73
2020-12-29,1609300081,27728,20183,757,718
2020-12-30,1609404997,7392,5309,336,185
2020-12-31,1609459563,21689,15598,595,556
2021-01-01,1609546863,12867,9046,663,315
2021-01-02,1609632422,14490,9905,782,349
2021-01-03,1609748696,9037,6522,386,237
2021-01-04,1609840809,7586,5578,391,204
2021-01-05,1609927204,10025,7128,487,260
2021-01-06,1609983003,7788,5558,384,199
2021-01-07,1610096400,6997,4689,383,171
2021-01-08,1610150583,28073,20222,1202,714
2021-01-09,1610237824,25704,17927,1070,601
2021-01-10,1610326262,2536,1634,236,61
2021-01-11,1610411162,17755,13271,453,461
2021-01-12,1610526607,8344,5938,425,215
2021-01-13,1610613005,14773,10814,379,383
2021-01-14,1610669342,8728,6252,469,227
2021-01-15,1610756822,17400,12002,1377,419
2021-01-16,1610877605,8889,6412,277,232
2021-01-17,1610935320,19688,13598,1058,454
2021-01-18,1611015662,9427,6783,466,247
2021-01-19,1611101221,7920,5097,594,185
2021-01-20,1611222379,10475,7424,564,262
2021-01-21,1611274921,3907,2533,300,87
2021-01-22,1611396001,12008,8933,361,316
2021-01-23,1611448143,13462,9285,716,329
2021-01-24,1611534541,23113,16315,1019,562
2021-01-25,1611619201,10557,7004,861,244
2021-01-26,1611736202,12114,8522,493,297
2021-01-27,1611793442,6298,4054,362,141
2021-01-28,1611914402,9032,6166,532,208
2021-01-29,1611969001,10612,7529,410,268
2021-01-30,1612051381,10505,7609,548,276
2021-01-31,1612171807,9279,6640,423,238
2021-02-01,1612225081,4727,3039,381,109
2021-02-02,1612310523,6286,4089,536,136
2021-02-03,1612429202,4477,2882,441,100
2021-02-04,1612517402,12560,9067,322,323
2021-02-05,1612612563,20632,15314,562,548
2021-02-06,1612692057,7012,4589,457,167
2021-02-07,1612774864,3840,2468,268,91
2021-02-08,1612829343,5219,3355,357,117
2021-02-09,1612949406,4248,2730,259,97
2021-02-10,1613002322,8429,5629,499,202
2021-02-11,1613088362,13513,9382,769,331
2021-02-12,1613206150,5214,3405,509,129
2021-02-13,1613265062,8343,5653,439,202
2021-02-14,1613352662,3743,2407,352,92
2021-02-15,1613438702,9911,6974,522,248
2021-02-16,1613520386,7205,5176,385,185
2021-02-17,1613606401,7446,4791,560,164
2021-02-18,1613692862,12211,8600,404,307
2021-02-19,1613780762,5579,3649,507,139
2021-02-20,1613866202,12871,9253,508,322
2021-02-21,1613953563,8341,5881,273,204
2021-02-22,1614039782,18290,13043,805,451
2021-02-23,1614125403,8063,5287,565,177
2021-02-24,1614214442,16249,11436,846,396
2021-02-25,1614297722,11471,7642,538,270
2021-02-26,1614385982,6802,4556,461,174
2021-02-27,1614473762,15045,10179,825,338
2021-02-28,1614557161,10782,6971,541,231
2021-03-01,1614644461,10708,7743,774,288
2021-03-02,1614760202,8845,5935,1035,207
2021-03-03,1614818702,9435,6664,653,250
2021-03-04,1614868709,3206,2235,162,84
